1, diatonic scale degree 1;
2, diatonic scale degree 2;
3, diatonic scale degree 3;
4, diatonic scale degree 4;
5, diatonic scale degree 5;
6, diatonic scale degree 6;
7, diatonic scale degree 7;
#1, chromatic scale degree #1;
#2, chromatic scale degree #2;
#3, chromatic scale degree #3;
#4, chromatic scale degree #4;
#5, chromatic scale degree #5;
#6, chromatic scale degree #6;
#7, chromatic scale degree #7;
b1, chromatic scale degree b1;
b2, chromatic scale degree b2;
b3, chromatic scale degree b3;
b4, chromatic scale degree b4;
b5, chromatic scale degree b5;
b6, chromatic scale degree b6;
b7, chromatic scale degree b7;
